name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season
Diogo Jota 410,Wolves,105,FWD,7,3,10,4,0,28,0,0,0,0,12,65,4.0,1230.0,1190.0,1180.0,1230.0,1200.0,1200.0,2019-20
Leandro Trossard 421,Brighton,104,MID,5,5,4,0,0,34,0,0,0,0,9,60,2.0,1050.0,1010.0,1100.0,1100.0,1040.0,1030.0,2019-20
Alex McCarthy 318,Southampton,104,GK,0,0,7,0,0,35,0,0,1,79,8,45,3.0,1150.0,1040.0,1080.0,1050.0,1110.0,1080.0,2019-20
Romain Saïss 407,Wolves,103,DEF,2,2,10,10,1,34,0,0,0,0,8,45,4.0,1230.0,1190.0,1180.0,1230.0,1200.0,1200.0,2019-20
Mason Greenwood 234,Man Utd,103,FWD,10,1,6,0,0,13,0,0,0,0,17,45,4.0,1220.0,1300.0,1260.0,1330.0,1180.0,1260.0,2019-20
Federico Fernández 254,Newcastle,102,DEF,2,3,8,8,0,42,1,0,0,0,13,45,3.0,1090.0,1100.0,1030.0,1040.0,980.0,990.0,2019-20
Sébastien Haller 457,West Ham,102,FWD,7,3,5,1,0,41,0,0,0,0,11,75,2.0,1040.0,1030.0,1000.0,1030.0,1030.0,1150.0,2019-20
John Fleck 301,Sheffield Utd,101,MID,5,2,8,8,0,30,0,0,0,0,13,50,3.0,1180.0,1200.0,1170.0,1180.0,1050.0,1110.0,2019-20
Jay Rodriguez 451,Burnley,100,FWD,8,2,7,1,0,34,0,0,0,0,9,60,3.0,1110.0,1180.0,1130.0,1070.0,970.0,1110.0,2019-20
Leander Dendoncker 420,Wolves,100,MID,4,0,11,5,0,34,1,0,0,0,9,45,4.0,1230.0,1190.0,1180.0,1230.0,1200.0,1200.0,2019-20
Marcos Alonso 103,Chelsea,100,DEF,4,4,7,4,0,18,0,0,0,0,11,65,4.0,1220.0,1230.0,1240.0,1240.0,1220.0,1250.0,2019-20
Lucas Rodrigues Moura da Silva 345,Spurs,100,MID,4,5,6,3,0,29,0,0,0,0,3,75,4.0,1180.0,1240.0,1100.0,1130.0,1200.0,1140.0,2019-20
Joshua King 68,Bournemouth,99,FWD,6,5,4,0,0,37,0,0,0,0,11,65,2.0,1020.0,1020.0,990.0,1030.0,1000.0,1050.0,2019-20
Hugo Lloris 340,Spurs,98,GK,0,0,6,0,0,21,0,0,1,80,13,55,4.0,1180.0,1240.0,1100.0,1130.0,1200.0,1140.0,2019-20
Stuart Armstrong 323,Southampton,98,MID,5,4,7,4,0,25,0,0,0,0,10,55,3.0,1150.0,1040.0,1080.0,1050.0,1110.0,1080.0,2019-20
Oliver Norwood 302,Sheffield Utd,98,MID,1,3,13,8,0,36,0,0,0,0,6,50,3.0,1180.0,1200.0,1170.0,1180.0,1050.0,1110.0,2019-20
Mahmoud Ahmed Ibrahim Hassan 465,Aston Villa,98,MID,6,2,6,2,1,29,0,0,0,0,7,55,2.0,1020.0,1050.0,970.0,980.0,1000.0,1040.0,2019-20
Willy Boly 405,Wolves,97,DEF,0,1,12,1,1,15,0,0,0,0,10,50,4.0,1230.0,1190.0,1180.0,1230.0,1200.0,1200.0,2019-20
Rúben Diogo da Silva Neves 414,Wolves,97,MID,2,2,13,9,0,35,0,0,0,0,7,55,4.0,1230.0,1190.0,1180.0,1230.0,1200.0,1200.0,2019-20
Toby Alderweireld 331,Spurs,97,DEF,2,2,7,7,0,39,1,0,0,0,6,55,4.0,1180.0,1240.0,1100.0,1130.0,1200.0,1140.0,2019-20
Daniel James 243,Man Utd,95,MID,3,6,7,4,0,29,0,0,0,0,2,60,4.0,1220.0,1300.0,1260.0,1330.0,1180.0,1260.0,2019-20
Gylfi Sigurdsson 151,Everton,95,MID,2,4,6,3,0,45,0,0,0,0,7,80,3.0,1100.0,1240.0,1100.0,1210.0,1170.0,1180.0,2019-20
David Luiz Moreira Marinho 106,Arsenal,94,DEF,2,1,8,5,2,42,0,0,0,0,10,60,4.0,1180.0,1240.0,1170.0,1170.0,1150.0,1200.0,2019-20
Emiliano Buendía 283,Norwich,94,MID,1,7,3,6,1,54,0,0,0,0,12,60,2.0,980.0,1020.0,1030.0,1040.0,990.0,990.0,2019-20
Pablo Fornals 399,West Ham,93,MID,2,6,6,3,0,35,0,0,0,0,4,65,2.0,1040.0,1030.0,1000.0,1030.0,1030.0,1150.0,2019-20
Anwar El Ghazi 30,Aston Villa,93,MID,4,5,5,3,0,48,0,0,0,0,0,55,2.0,1020.0,1050.0,970.0,980.0,1000.0,1040.0,2019-20
Joseph Gomez 184,Liverpool,93,DEF,0,0,12,7,0,16,0,0,0,0,7,55,5.0,1340.0,1350.0,1310.0,1320.0,1310.0,1330.0,2019-20
Jorge Luiz Frello Filho 118,Chelsea,92,MID,4,3,6,10,0,40,0,0,0,0,9,50,4.0,1220.0,1230.0,1240.0,1240.0,1220.0,1250.0,2019-20
Allan Saint-Maximin 500,Newcastle,92,MID,3,5,8,0,0,22,0,0,0,0,7,55,3.0,1090.0,1100.0,1030.0,1040.0,980.0,990.0,2019-20
Rodrigo Hernandez 443,Man City,92,MID,3,2,14,8,0,27,0,0,0,0,5,55,5.0,1330.0,1340.0,1260.0,1270.0,1320.0,1320.0,2019-20
