name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,count_gws_min_minutes,minutes_played,min_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship
Danny Rose,Spurs,24,DEF,0,2,2,4,0,14,0,0,0,0,0,65,9.0,800,1,1,0,0,0,0,0,0,2017-18,0
Stefano Okaka,Watford,24,FWD,1,1,2,2,0,9,0,0,0,0,1,55,3.0,442,1,2,0,0,0,0,0,0,2017-18,0
Diafra Sakho,West Ham,24,FWD,2,1,0,2,0,11,0,0,0,0,1,55,,294,1,2,0,0,0,0,0,0,2017-18,0
Adrien Sebastian Perruchet Silva,Leicester,23,MID,0,2,1,3,0,18,0,0,0,0,0,60,5.0,760,22,2,0,0,0,0,0,0,2017-18,0
Marcos Rojo,Man Utd,23,DEF,0,0,3,6,0,8,0,0,0,0,4,55,6.0,639,1,4,0,0,0,0,0,0,2017-18,0
Oliver Burke,West Brom,23,MID,0,2,0,0,0,11,0,0,0,0,0,55,2.0,356,3,2,0,0,0,0,0,0,2017-18,0
Claudio Yacob,West Brom,23,MID,0,0,3,5,0,17,0,0,0,0,0,45,8.0,898,1,2,0,0,0,0,0,0,2017-18,0
Calum Chambers,Arsenal,23,DEF,0,0,2,1,0,14,0,0,0,0,0,50,10.0,864,1,4,0,0,0,0,0,0,2017-18,0
Sam Field,West Brom,23,MID,1,0,4,3,0,7,0,0,0,0,2,45,5.0,534,1,2,0,0,0,0,0,0,2017-18,0
Jairo Riedewald,Crystal Palace,23,DEF,0,0,2,0,0,6,0,0,0,0,0,50,4.0,435,1,2,0,0,0,0,0,0,2017-18,0
Charlie Taylor,Burnley,23,DEF,0,0,2,3,0,12,0,0,0,0,0,45,10.0,949,1,2,0,0,0,0,0,0,2017-18,0
Jan Bednarek,Southampton,22,DEF,1,0,2,1,0,5,0,0,0,0,0,45,3.0,427,1,3,0,0,0,0,0,0,2017-18,0
Eliaquim Mangala,Everton,22,DEF,0,0,2,0,0,7,0,0,0,0,0,50,5.0,617,1,3,0,0,0,0,0,0,2017-18,0
Fernando Llorente,Spurs,22,FWD,1,0,1,1,0,2,0,0,0,0,2,75,1.0,224,1,1,0,0,0,0,0,0,2017-18,0
Miguel Britos,Watford,22,DEF,1,0,2,3,1,16,0,0,0,0,0,45,8.0,795,1,2,0,0,0,0,0,0,2017-18,0
Philip Billing,Huddersfield,22,MID,0,0,3,3,0,11,0,0,0,0,0,45,5.0,755,1,1,0,0,0,0,0,0,2017-18,1
Mohamed Elneny,Arsenal,22,MID,0,1,3,3,1,12,0,0,0,0,0,45,9.0,865,1,4,0,0,0,0,0,0,2017-18,0
Fousseni Diabaté,Leicester,21,FWD,0,1,0,1,0,12,0,0,0,0,0,50,4.0,579,24,2,0,0,0,0,0,0,2017-18,0
Scott McTominay,Man Utd,21,MID,0,0,4,2,0,3,0,0,0,0,0,45,6.0,629,1,4,0,0,0,0,0,0,2017-18,0
Renato Sanches,Swansea,20,MID,0,0,2,1,0,10,0,0,0,0,0,50,7.0,699,4,2,0,0,0,0,0,0,2017-18,0
Chancel Mbemba,Newcastle,20,DEF,0,0,1,0,0,11,0,0,0,0,3,40,7.0,670,1,1,0,0,0,0,0,0,2017-18,1
Bruno Martins Indi,Stoke,20,DEF,0,0,1,3,0,28,0,0,0,0,0,50,12.0,1242,2,2,0,0,0,0,0,0,2017-18,0
Benjamin Mendy,Man City,20,DEF,0,1,2,2,0,1,0,0,0,0,1,65,3.0,360,1,4,0,0,0,0,0,0,2017-18,0
Saido Berahino,Stoke,20,FWD,0,1,2,0,0,13,0,1,0,0,0,60,4.0,483,1,2,0,0,0,0,0,0,2017-18,0
Ezequiel Schelotto,Brighton,20,DEF,0,0,0,3,0,30,0,0,0,0,0,45,14.0,1313,4,1,0,0,0,0,0,0,2017-18,1
Leonardo Ulloa,Brighton,20,FWD,1,0,1,0,0,4,0,0,0,0,0,50,2.0,279,1,1,0,0,0,0,0,0,2017-18,1
David Ospina,Arsenal,19,GK,0,0,2,0,0,3,0,0,0,9,1,50,4.0,380,1,4,0,0,0,0,0,0,2017-18,0
Molla Wagué,Watford,19,DEF,1,0,1,0,0,8,0,0,0,0,0,45,4.0,438,1,2,0,0,0,0,0,0,2017-18,0
Kevin Wimmer,Stoke,19,DEF,0,0,1,5,0,32,0,0,0,0,1,45,13.0,1321,1,2,0,0,0,0,0,0,2017-18,0
Nikola Vlasic,Everton,18,MID,0,0,1,0,0,12,0,0,0,0,0,55,5.0,572,4,3,0,0,0,0,0,0,2017-18,0
Roque Mesa,Swansea,18,MID,0,0,2,3,0,16,0,0,0,0,0,45,8.0,753,1,2,0,0,0,0,0,0,2017-18,0
Danny Ings,Liverpool,18,FWD,1,1,3,0,0,0,0,0,0,0,0,55,3.0,262,1,4,0,0,0,0,0,0,2017-18,0
Wayne Routledge,Swansea,17,MID,0,0,1,1,0,11,0,0,0,0,0,55,2.0,420,1,2,0,0,0,0,0,0,2017-18,0
Oliver McBurnie,Swansea,16,FWD,0,1,0,0,0,5,0,0,0,0,0,45,2.0,267,1,2,0,0,0,0,0,0,2017-18,0
Per Mertesacker,Arsenal,16,DEF,1,0,0,0,0,7,0,0,0,0,2,50,4.0,364,1,4,0,0,0,0,0,0,2017-18,0
Oleksandr Zinchenko,Man City,16,MID,0,0,3,1,0,3,0,0,0,0,0,50,6.0,530,7,4,0,0,0,0,0,0,2017-18,0
Gnegneri Yaya Touré,Man City,16,MID,0,2,0,1,0,2,0,0,0,0,0,65,1.0,227,1,4,0,0,0,0,0,0,2017-18,0
Isaiah Brown,Brighton,16,MID,0,0,0,0,0,8,0,0,0,0,0,55,3.0,302,1,1,0,0,0,0,0,0,2017-18,1
Jürgen Locadia,Brighton,16,FWD,1,1,1,0,0,8,0,0,0,0,2,60,1.0,221,25,1,0,0,0,0,0,0,2017-18,1
Nacer Chadli,West Brom,15,MID,1,0,1,1,0,4,0,0,0,0,3,60,2.0,213,1,2,0,0,0,0,0,0,2017-18,0
Aaron Wan-Bissaka,Crystal Palace,15,MID,0,0,2,1,0,10,0,0,0,0,0,45,7.0,627,18,2,0,0,0,0,0,0,2017-18,0
Guido Carrillo,Southampton,15,FWD,0,1,1,0,0,8,0,0,0,0,0,65,5.0,449,25,3,0,0,0,0,0,0,2017-18,0
