name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,count_gws_min_minutes,minutes_played,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship
Adam Webster,Brighton,85,DEF,1,0,9,4,0,35,0,0,0,0,0,45,29.0,2594,3,1130,1130,1150,1190,1100,1130,2020-21,0
Christian Pulisic,Chelsea,82,MID,4,3,7,2,0,21,0,0,0,0,3,85,15.0,1731,4,1250,1280,1260,1300,1250,1310,2020-21,0
Cheikhou Kouyaté,Crystal Palace,82,MID,1,0,8,4,0,56,0,0,0,0,2,50,33.0,3121,3,1090,1110,1030,1120,1010,1020,2020-21,0
Seamus Coleman,Everton,81,DEF,0,3,8,0,0,19,0,0,0,0,4,50,15.0,1607,3,1250,1130,1130,1100,1200,1140,2020-21,0
Karl Darlow,Newcastle,80,GK,0,0,4,3,0,43,0,0,1,88,6,50,24.0,2250,2,1050,1070,1050,1060,1030,1110,2020-21,0
Abdoulaye Doucouré,Everton,80,MID,2,3,9,6,0,36,0,0,0,0,2,55,25.0,2443,3,1250,1130,1130,1100,1200,1140,2020-21,0
Serge Aurier,Spurs,80,DEF,2,3,6,0,0,22,0,0,0,0,4,55,17.0,1605,4,1190,1250,1130,1170,1250,1290,2020-21,0
Mason Holgate,Everton,80,DEF,1,0,9,9,0,32,0,0,0,0,4,50,23.0,2286,3,1250,1130,1130,1100,1200,1140,2020-21,0
Lucas Rodrigues Moura da Silva,Spurs,80,MID,3,5,4,1,0,18,0,0,0,0,5,70,11.0,1397,4,1190,1250,1130,1170,1250,1290,2020-21,0
Callum Robinson,West Brom,79,FWD,5,3,3,0,0,42,0,0,0,0,8,55,12.0,1552,2,1050,1040,1040,1000,1050,1040,2020-21,1
Yerry Mina,Everton,79,DEF,2,0,6,2,0,22,0,0,0,0,7,55,21.0,1936,3,1250,1130,1130,1100,1200,1140,2020-21,0
Kyle Bartley,West Brom,79,DEF,3,1,5,4,0,53,0,0,0,0,3,45,26.0,2583,2,1050,1040,1040,1000,1050,1040,2020-21,1
Wilfred Ndidi,Leicester,79,MID,1,4,7,6,0,31,0,0,0,0,11,50,21.0,2175,4,1240,1260,1190,1150,1150,1230,2020-21,0
Darnell Furlong,West Brom,79,DEF,1,3,6,5,0,63,1,0,0,0,2,45,31.0,2931,2,1050,1040,1040,1000,1050,1040,2020-21,1
Joseph Willock,Newcastle,79,MID,8,0,4,1,0,18,0,1,0,0,5,50,12.0,1210,2,1050,1070,1050,1060,1030,1110,2020-21,0
Gabriel Magalhães,Arsenal,78,DEF,2,0,6,2,1,24,0,0,0,0,7,50,21.0,1996,4,1200,1250,1130,1150,1220,1210,2020-21,0
Marc Albrighton,Leicester,78,MID,1,7,4,2,0,22,0,0,0,0,3,55,14.0,1735,4,1240,1260,1190,1150,1150,1230,2020-21,0
Willian Borges Da Silva,Arsenal,78,MID,1,7,3,0,0,17,0,0,0,0,9,80,15.0,1398,4,1200,1250,1130,1150,1220,1210,2020-21,0
Ryan Bertrand,Southampton,78,DEF,0,2,8,5,0,51,0,0,0,0,4,50,27.0,2598,3,1060,1100,1030,1110,1110,1160,2020-21,0
Eric Dier,Spurs,77,DEF,0,0,8,3,0,34,0,0,0,0,2,50,27.0,2520,4,1190,1250,1130,1170,1250,1290,2020-21,0
Leander Dendoncker,Wolves,77,MID,1,2,11,4,0,33,1,0,0,0,2,50,25.0,2498,3,1080,1110,1120,1130,1040,1120,2020-21,0
Yves Bissouma,Brighton,77,MID,1,0,11,8,1,42,0,0,0,0,2,45,34.0,3112,3,1130,1130,1150,1190,1100,1130,2020-21,0
André-Frank Zambo Anguissa,Fulham,76,MID,0,3,6,6,0,40,0,0,0,0,4,45,26.0,2581,3,1090,1100,1150,1110,1040,1060,2020-21,1
Conor Townsend,West Brom,76,DEF,0,2,6,0,0,36,0,0,0,0,8,45,24.0,2234,2,1050,1040,1040,1000,1050,1040,2020-21,1
Theo Walcott,Southampton,76,MID,3,4,5,0,0,28,0,0,0,0,2,60,20.0,1629,3,1060,1100,1030,1110,1110,1160,2020-21,0
Ross Barkley,Aston Villa,76,MID,3,2,8,0,0,24,0,0,0,0,4,60,15.0,1566,3,1100,1160,1120,1140,1080,1100,2020-21,0
Daniel Castelo Podence,Wolves,75,MID,3,2,8,3,0,24,0,0,0,0,5,55,20.0,1661,3,1080,1110,1120,1130,1040,1120,2020-21,0
Emile Smith Rowe,Arsenal,74,MID,2,5,9,0,0,10,0,0,0,0,3,45,16.0,1438,4,1200,1250,1130,1150,1220,1210,2020-21,0
Jonjo Shelvey,Newcastle,74,MID,1,3,6,7,0,46,0,0,0,0,2,55,28.0,2616,2,1050,1070,1050,1060,1030,1110,2020-21,0
Joelinton Cássio Apolinário de Lira,Newcastle,74,FWD,4,2,3,3,0,36,0,0,0,0,5,60,19.0,1979,2,1050,1070,1050,1060,1030,1110,2020-21,0
João Filipe Iria Santos Moutinho,Wolves,73,MID,1,1,6,3,1,40,0,0,0,0,4,55,27.0,2526,3,1080,1110,1120,1130,1040,1120,2020-21,0
Fabio Silva,Wolves,72,FWD,4,3,0,2,0,29,0,0,0,0,5,55,11.0,1352,3,1080,1110,1120,1130,1040,1120,2020-21,0
Pascal Struijk,Leeds,71,DEF,1,0,7,3,0,32,0,0,0,0,2,40,20.0,2072,3,1160,1170,1060,1150,1210,1170,2020-21,1
Fabio Henrique Tavares,Liverpool,71,MID,0,2,11,6,0,29,0,0,0,0,2,55,26.0,2566,4,1250,1210,1190,1210,1300,1230,2020-21,0
Granit Xhaka,Arsenal,70,MID,1,2,10,7,1,27,0,0,0,0,1,55,27.0,2519,4,1200,1250,1130,1150,1220,1210,2020-21,0
Hakim Ziyech,Chelsea,70,MID,2,3,10,3,0,7,0,0,0,0,8,80,12.0,1164,4,1250,1280,1260,1300,1250,1310,2020-21,0
Jordan Ayew,Crystal Palace,70,FWD,1,4,6,4,0,42,0,0,0,0,2,60,22.0,2086,3,1090,1110,1030,1120,1010,1020,2020-21,0
John Fleck,Sheffield Utd,70,MID,0,3,5,4,0,47,0,0,0,0,1,60,27.0,2573,2,1000,1040,1020,1070,1000,1010,2020-21,0
Jacob Murphy,Newcastle,69,MID,2,3,3,3,0,33,0,0,0,0,7,50,17.0,1617,2,1050,1070,1050,1060,1030,1110,2020-21,0
Matt Phillips,West Brom,69,MID,2,1,3,1,0,42,0,0,0,0,3,55,17.0,1815,2,1050,1040,1040,1000,1050,1040,2020-21,1
Tammy Abraham,Chelsea,69,FWD,6,2,5,0,0,12,0,0,0,0,8,75,9.0,1031,4,1250,1280,1260,1300,1250,1310,2020-21,0
Solomon March,Brighton,69,MID,2,2,7,0,0,25,0,0,0,0,6,50,19.0,1670,3,1130,1130,1150,1190,1100,1130,2020-21,0
Harrison Reed,Fulham,69,MID,0,3,9,5,0,35,0,0,0,0,0,45,22.0,2243,3,1090,1100,1150,1110,1040,1060,2020-21,1
Willy Boly,Wolves,68,DEF,1,1,6,2,0,29,0,0,0,0,4,55,21.0,1879,3,1080,1110,1120,1130,1040,1120,2020-21,0
Ainsley Maitland-Niles,West Brom,68,DEF,0,2,6,2,0,23,0,0,0,0,1,50,18.0,1714,2,1050,1040,1040,1000,1050,1040,2020-21,1
Kalvin Phillips,Leeds,67,MID,1,2,9,10,0,34,0,0,0,0,2,50,26.0,2428,3,1160,1170,1060,1150,1210,1170,2020-21,1
Nathan Redmond,Southampton,67,MID,2,3,1,1,0,39,0,0,0,0,3,65,15.0,1727,3,1060,1100,1030,1110,1110,1160,2020-21,0
Ruben Loftus-Cheek,Fulham,66,MID,1,0,11,3,0,22,0,0,0,0,0,60,19.0,1962,3,1090,1100,1150,1110,1040,1060,2020-21,1
Joel Ward,Crystal Palace,66,DEF,0,1,7,5,0,43,0,0,0,0,6,45,23.0,2255,3,1090,1110,1030,1120,1010,1020,2020-21,0
Jeffrey Schlupp,Crystal Palace,65,MID,2,3,5,3,0,26,0,0,0,0,3,55,14.0,1415,3,1090,1110,1030,1120,1010,1020,2020-21,0
Alex Iwobi,Everton,65,MID,1,3,5,0,0,21,0,0,0,0,1,60,14.0,1530,3,1250,1130,1130,1100,1200,1140,2020-21,0
Jairo Riedewald,Crystal Palace,64,MID,2,0,4,4,0,39,0,0,0,0,4,45,17.0,1810,3,1090,1110,1030,1120,1010,1020,2020-21,0
Dan Burn,Brighton,64,DEF,1,0,6,5,0,28,1,0,0,0,1,45,22.0,2057,3,1130,1130,1150,1190,1100,1130,2020-21,0
George Baldock,Sheffield Utd,63,DEF,0,2,4,7,0,51,0,0,0,0,2,55,29.0,2787,2,1000,1040,1020,1070,1000,1010,2020-21,0
Luka Milivojevic,Crystal Palace,63,MID,1,1,7,8,1,47,0,1,0,0,3,60,25.0,2357,3,1090,1110,1030,1120,1010,1020,2020-21,0
Aleksandar Mitrović,Fulham,63,FWD,3,3,1,3,0,24,0,1,0,0,7,60,13.0,1389,3,1090,1100,1150,1110,1040,1060,2020-21,1
Hélder Wander Sousa de Azevedo e Costa,Leeds,63,MID,3,4,3,0,0,23,1,0,0,0,2,55,11.0,1150,3,1160,1170,1060,1150,1210,1170,2020-21,1
N'Golo Kanté,Chelsea,62,MID,0,2,10,7,0,24,0,0,0,0,0,50,22.0,2140,4,1250,1280,1260,1300,1250,1310,2020-21,0
Daniel Ceballos Fernández,Arsenal,62,MID,0,4,6,4,0,17,0,0,0,0,7,50,16.0,1609,4,1200,1250,1130,1150,1220,1210,2020-21,0
Andreas Christensen,Chelsea,61,DEF,0,0,8,2,1,17,0,0,0,0,9,50,12.0,1371,4,1250,1280,1260,1300,1250,1310,2020-21,0
Liam Cooper,Leeds,59,DEF,1,0,6,4,1,41,0,0,0,0,2,45,23.0,2186,3,1160,1170,1060,1150,1210,1170,2020-21,1
Çaglar Söyüncü,Leicester,59,DEF,1,0,5,2,0,30,0,0,0,0,3,55,17.0,1816,4,1240,1260,1190,1150,1150,1230,2020-21,0
Callum Hudson-Odoi,Chelsea,59,MID,2,3,6,0,0,5,0,0,0,0,2,60,9.0,1050,4,1250,1280,1260,1300,1250,1310,2020-21,0
Max Kilman,Wolves,58,DEF,0,1,5,4,0,11,0,0,0,0,8,40,14.0,1307,3,1080,1110,1120,1130,1040,1120,2020-21,0
