name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season
Kasper Schmeichel,Leicester,131,GK,0,0,7,1,0,58,0,0,2,131,12,50,3,1090,1200,1100,1080,1150,1160,2021-22
Edouard Mendy,Chelsea,130,GK,0,0,14,3,0,31,0,0,0,73,3,60,4,1290,1320,1300,1300,1250,1290,2021-22
Thiago Emiliano da Silva,Chelsea,130,DEF,3,1,11,2,0,28,0,0,0,0,14,55,4,1290,1320,1300,1300,1250,1290,2021-22
Nick Pope,Burnley,130,GK,0,0,9,1,0,47,0,0,0,120,12,55,2,1060,1060,1080,1130,1060,1100,2021-22
Emiliano Martínez,Aston Villa,129,GK,0,0,11,4,0,48,0,0,1,95,7,55,3,1100,1100,1140,1110,1090,1090,2021-22
Marcos Alonso,Chelsea,128,DEF,4,5,9,8,0,22,0,0,0,0,14,55,4,1290,1320,1300,1300,1250,1290,2021-22
Rodrigo Hernandez,Man City,127,MID,7,2,17,5,0,22,0,0,0,0,9,55,5,1350,1370,1340,1360,1340,1360,2021-22
Robert Sánchez,Brighton,126,GK,0,0,11,3,1,42,0,0,0,101,8,45,3,1100,1090,1160,1160,1100,1120,2021-22
Emile Smith Rowe,Arsenal,125,MID,10,2,8,1,0,28,0,0,0,0,9,55,4,1250,1270,1150,1210,1190,1220,2021-22
Richarlison de Andrade,Everton,125,FWD,10,6,7,9,0,46,0,0,0,0,19,75,2,1050,1090,1130,1090,1110,1110,2021-22
Joachim Andersen,Crystal Palace,124,DEF,0,4,12,4,0,37,1,0,0,0,14,45,3,1090,1100,1110,1160,1080,1160,2021-22
Ilkay Gündogan,Man City,124,MID,8,5,14,1,0,10,0,0,0,0,10,75,5,1350,1370,1340,1360,1340,1360,2021-22
Marc Guéhi,Crystal Palace,123,DEF,2,1,11,4,0,43,0,0,0,0,8,45,3,1090,1100,1110,1160,1080,1160,2021-22
Pontus Jansson,Brentford,122,DEF,3,4,8,7,0,56,0,0,0,0,13,45,2,1060,1070,1120,1150,1080,1120,2021-22
Gabriel Fernando de Jesus,Man City,120,FWD,8,8,11,1,0,15,0,0,0,0,16,85,5,1350,1370,1340,1360,1340,1360,2021-22
Youri Tielemans,Leicester,120,MID,6,4,6,3,0,42,0,0,0,0,14,65,3,1090,1200,1100,1080,1150,1160,2021-22
Vicente Guaita,Crystal Palace,119,GK,0,0,11,2,0,33,0,0,0,83,11,45,3,1090,1100,1110,1160,1080,1160,2021-22
Bryan Mbeumo,Brentford,119,MID,4,7,9,4,0,47,0,0,0,0,6,55,2,1060,1070,1120,1150,1080,1120,2021-22
Tyrone Mings,Aston Villa,118,DEF,1,4,11,11,0,49,0,0,0,0,12,50,3,1100,1100,1140,1110,1090,1090,2021-22
Jack Harrison,Leeds,117,MID,8,1,3,3,0,68,0,0,0,0,12,60,3,1070,1080,1080,1070,1100,1100,2021-22
Pablo Fornals,West Ham,117,MID,6,4,8,4,0,38,0,0,0,0,5,60,3,1130,1190,1110,1150,1160,1180,2021-22
Allan Saint-Maximin,Newcastle,116,FWD,5,7,9,6,0,54,0,0,0,0,15,65,3,1090,1170,1050,1030,1040,1070,2021-22
