Player,Position,Championship Season,Championship Goals,FPL Season,FPL Points,FPL Goals,FPL Assists,FPL Value,Player (FPL Season),Player (FPL Season) - Short,Championship Team,FPL Team
Aleksandar Mitrović,FWD,2016-17,4,2017-18,10.0,1.0,0.0,50.0,Aleksandar Mitrović (2017-18),Mitrović: 17/18,Newcastle,Newcastle
Danny Ward,MID,2017-18,4,2018-19,22.0,1.0,0.0,45.0,Danny Ward (2018-19),Ward: 18/19,Cardiff,Cardiff
Tommy Smith,DEF,2016-17,4,2017-18,50.0,0.0,1.0,50.0,Tommy Smith (2017-18),Smith: 17/18,Huddersfield,Huddersfield
Aaron Mooy,MID,2016-17,4,2017-18,113.0,4.0,3.0,55.0,Aaron Mooy (2017-18),Mooy: 17/18,Huddersfield,Huddersfield
Floyd Ayité,MID,2017-18,4,2018-19,24.0,1.0,0.0,45.0,Floyd Ayité (2018-19),Ayité: 18/19,Fulham,Fulham
Sol Bamba,DEF,2017-18,4,2018-19,95.0,4.0,1.0,45.0,Sol Bamba (2018-19),Bamba: 18/19,Cardiff,Cardiff
Matt Doherty,DEF,2017-18,4,2018-19,144.0,4.0,7.0,45.0,Matt Doherty (2018-19),Doherty: 18/19,Wolves,Wolves
Romain Saïss,DEF,2017-18,4,2018-19,47.0,2.0,0.0,45.0,Romain Saïss (2018-19),Saïss: 18/19,Wolves,Wolves
Solly March,MID,2016-17,3,2017-18,74.0,1.0,3.0,50.0,Solly March (2017-18),March: 17/18,Brighton,Brighton
Jamaal Lascelles,DEF,2016-17,3,2017-18,116.0,3.0,0.0,45.0,Jamaal Lascelles (2017-18),Lascelles: 17/18,Newcastle,Newcastle
Willy Boly,DEF,2017-18,3,2018-19,120.0,4.0,0.0,45.0,Willy Boly (2018-19),Boly: 18/19,Wolves,Wolves
Omar Bogle,FWD,2017-18,3,2018-19,0.0,0.0,0.0,45.0,Omar Bogle (2018-19),Bogle: 18/19,Cardiff,Cardiff
Emilio N'Sue,DEF,2015-16,3,2016-17,10.0,0.0,0.0,45.0,Emilio N'Sue (2016-17),N'Sue: 16/17,Middlesbrough,Middlesbrough
Luke Berry,MID,2022-23,3,2023-24,31.0,2.0,1.0,50.0,Luke Berry (2023-24),Berry: 23/24,Luton,Luton
Allan Campbell,MID,2022-23,3,2023-24,0.0,0.0,0.0,50.0,Allan Campbell (2023-24),Campbell: 23/24,Luton,Luton
Neeskens Kebano,MID,2017-18,3,2018-19,7.0,0.0,0.0,45.0,Neeskens Kebano (2018-19),Kebano: 18/19,Fulham,Fulham
Pelly-Ruddock Mpanzu,MID,2022-23,3,2023-24,35.0,0.0,0.0,50.0,Pelly-Ruddock Mpanzu (2023-24),Mpanzu: 23/24,Luton,Luton
