Player,Team,Position,Championship Season,Championship Assists,FPL Season,FPL Points,FPL Goals,FPL Assists,Player (FPL Season),Player (FPL Season) - Short
Saman Ghoddos,Brentford,MID,2020-21,2,2021-22,30.0,1.0,2.0,Saman Ghoddos (2021-22),Ghoddos: 21/22
Max Aarons,Norwich,DEF,2020-21,2,2021-22,55.0,0.0,2.0,Max Aarons (2021-22),Aarons: 21/22
Kyle Bartley,West Brom,DEF,2019-20,2,2020-21,79.0,3.0,1.0,Kyle Bartley (2020-21),Bartley: 20/21
Jack Payne,Huddersfield,MID,2016-17,2,2017-18,0.0,0.0,0.0,Jack Payne (2017-18),Payne: 17/18
Christopher Schindler,Huddersfield,DEF,2016-17,2,2017-18,102.0,0.0,2.0,Christopher Schindler (2017-18),Schindler: 17/18
Dale Stephens,Brighton,MID,2016-17,2,2017-18,87.0,0.0,3.0,Dale Stephens (2017-18),Stephens: 17/18
Lyle Taylor,Nott'm Forest,FWD,2021-22,2,2022-23,0.0,0.0,0.0,Lyle Taylor (2022-23),Taylor: 22/23
Junior Stanislas,Bournemouth,MID,2021-22,2,2022-23,4.0,0.0,0.0,Junior Stanislas (2022-23),Stanislas: 22/23
Tosin Adarabioyo,Fulham,DEF,2021-22,2,2022-23,49.0,1.0,0.0,Tosin Adarabioyo (2022-23),Adarabioyo: 22/23
Kieran Gibbs,West Brom,DEF,2019-20,2,2020-21,5.0,0.0,0.0,Kieran Gibbs (2020-21),Gibbs: 20/21
Aleksandar Mitrović,Fulham,FWD,2019-20,2,2020-21,63.0,3.0,3.0,Aleksandar Mitrović (2020-21),Mitrović: 20/21
Patrick Bamford,Leeds,FWD,2019-20,2,2020-21,194.0,17.0,11.0,Patrick Bamford (2020-21),Bamford: 20/21
Fred Onyedinma,Luton,MID,2022-23,2,2023-24,11.0,0.0,0.0,Fred Onyedinma (2023-24),Onyedinma: 23/24
Jay Rodriguez,Burnley,FWD,2022-23,2,2023-24,41.0,2.0,1.0,Jay Rodriguez (2023-24),Rodriguez: 23/24
Charlie Austin,West Brom,FWD,2019-20,2,2020-21,5.0,0.0,0.0,Charlie Austin (2020-21),Austin: 20/21
Lewis Cook,Bournemouth,MID,2021-22,2,2022-23,51.0,0.0,2.0,Lewis Cook (2022-23),Cook: 22/23
Oliver Norwood,Brighton,MID,2016-17,2,2017-18,0.0,0.0,0.0,Oliver Norwood (2017-18),Norwood: 17/18
Daryl Murphy,Newcastle,FWD,2016-17,2,2017-18,0.0,0.0,0.0,Daryl Murphy (2017-18),Murphy: 17/18
Solly March,Brighton,MID,2016-17,2,2017-18,74.0,1.0,3.0,Solly March (2017-18),March: 17/18
Jamaal Lascelles,Newcastle,DEF,2016-17,2,2017-18,116.0,3.0,0.0,Jamaal Lascelles (2017-18),Lascelles: 17/18
Elias Kachunga,Huddersfield,MID,2016-17,2,2017-18,46.0,1.0,1.0,Elias Kachunga (2017-18),Kachunga: 17/18
Isaac Hayden,Newcastle,MID,2016-17,2,2017-18,41.0,1.0,0.0,Isaac Hayden (2017-18),Hayden: 17/18
Dwight Gayle,Newcastle,FWD,2016-17,2,2017-18,94.0,6.0,3.0,Dwight Gayle (2017-18),Gayle: 17/18
George Baldock,Sheffield Utd,DEF,2018-19,2,2019-20,142.0,2.0,4.0,George Baldock (2019-20),Baldock: 19/20
Todd Cantwell,Norwich,MID,2018-19,2,2019-20,111.0,6.0,2.0,Todd Cantwell (2019-20),Cantwell: 19/20
Ben Godfrey,Norwich,DEF,2018-19,2,2019-20,38.0,0.0,0.0,Ben Godfrey (2019-20),Godfrey: 19/20
Jonathan Kodjia,Aston Villa,FWD,2018-19,2,2019-20,5.0,0.0,0.0,Jonathan Kodjia (2019-20),Kodjia: 19/20
Christoph Zimmermann,Norwich,DEF,2018-19,2,2019-20,35.0,0.0,1.0,Christoph Zimmermann (2019-20),Zimmermann: 19/20
Neil Taylor,Aston Villa,DEF,2018-19,2,2019-20,22.0,0.0,0.0,Neil Taylor (2019-20),Taylor: 19/20
Oliver McBurnie,Sheffield Utd,FWD,2022-23,2,2023-24,66.0,6.0,3.0,Oliver McBurnie (2023-24),McBurnie: 23/24
Bruno Écuélé Manga,Cardiff,DEF,2017-18,2,2018-19,97.0,0.0,1.0,Bruno Écuélé Manga (2018-19),Écuélé Manga: 18/19
Anel Ahmedhodžić,Sheffield Utd,DEF,2022-23,2,2023-24,31.0,2.0,0.0,Anel Ahmedhodžić (2023-24),Ahmedhodžić: 23/24
Conor Coady,Wolves,DEF,2017-18,2,2018-19,94.0,0.0,0.0,Conor Coady (2018-19),Coady: 18/19
Adam Forshaw,Middlesbrough,MID,2015-16,2,2016-17,77.0,0.0,2.0,Adam Forshaw (2016-17),Forshaw: 16/17
